"Please be mindful when editing!","The person generating the game needs a copy of each APWorld that is to be used for the game. If the APWorld requires a specific ROM to generate, they need that ROM too.","","","","","","","",""
"Headers are locked to prevent auto-sorts from being done","The APWorlds should be placed in the host's Archipelago install in the custom_worlds folder. Then, the host can generate the game by following the instructions here: https://archipelago.gg/tutorial/Archipelago/setup/en#generating-a-game","","","","","","","",""
"If something is missing, add it! Someone will move it later.","Alternate place to get info on APWorlds: https://discord.com/channels/731205301247803413/1343416927871307776","","","","","","","",""
"Do not sort","Please only download APWorlds from trusted sources. You need to run custom code to generate a game, which is a potential security vulnerability if you managed to find a malicious APWorld.","","","","","","","",""
"Game","Status","Where can you get the APWorld and Client?","Notes","","","","","",""
"OpenRCT2","In Review","https://github.com/Crazycolbster/rollercoaster-tycoon-randomizer/releases","https://github.com/ArchipelagoMW/Archipelago/pull/3229
Report logic issues, bugs, or crashes to Crazycolbster in the future game design channel.","","","","","",""
"Wargroove 2","In Review","Check the future game design channel for the latest setup instructions","https://github.com/ArchipelagoMW/Archipelago/pull/3730","","","","","",""
"Hades","In Review","https://github.com/NaixGames/Polycosmos/releases/latest","https://github.com/ArchipelagoMW/Archipelago/pull/3815","","","","","",""
"Metroid Prime","In Review","https://github.com/Electro1512/MetroidAPrime/releases/latest","https://github.com/ArchipelagoMW/Archipelago/pull/4248 
Readme and Setup Guide: https://github.com/Electro1512/MetroidAPrime?tab=readme-ov-file#metroid-prime-archipelago","","","","","",""
"Final Fantasy IV: Free Enterprise","In Review","https://github.com/Rosalie-A/Archipelago/releases?q=FF4&expanded=true","https://github.com/ArchipelagoMW/Archipelago/pull/3897","","","","","",""
"Loonyland: Halloween Hill","In Review","APWorld: https://github.com/AutomaticFrenzy/Archipelago/releases 
Client: https://github.com/AutomaticFrenzy/HamSandwich/releases","https://github.com/ArchipelagoMW/Archipelago/pull/4427","","","","","",""
"Banjo-Tooie","In Review","https://github.com/jjjj12212/Archipelago-BanjoTooie/releases/","https://github.com/ArchipelagoMW/Archipelago/pull/4471
https://github.com/jjjj12212/Archipelago-BanjoTooie/blob/main/worlds/banjo_tooie/docs/setup_en.md","","","","","",""
"Gauntlet Legends","In Review","https://github.com/jamesbrq/GauntletLegendsAP/releases ","https://github.com/ArchipelagoMW/Archipelago/pull/3499","","","","","",""
"Peaks of Yore","In Review","See the future game design channel for the latest APWorld","https://github.com/ArchipelagoMW/Archipelago/pull/4626","","","","","",""
"Stick Ranger","In Review","https://github.com/Kryen112/AP_Stick_Ranger/releases/","https://github.com/ArchipelagoMW/Archipelago/pull/5115
Very playable! Game hosted at https://kryen112.github.io/","","","","","",""
"Scooby-Doo! Night of 100 Frights","In Review","https://github.com/vgm5/Night_Of_100_Frights_ap_world/releases/latest","https://github.com/ArchipelagoMW/Archipelago/pull/5180","","","","","",""
"Mega Man 3","In Review","https://github.com/Silvris/Archipelago/releases?q=%22Mega+Man+3%22&expanded=true","https://github.com/ArchipelagoMW/Archipelago/pull/5237","","","","","",""
"Hexcells Infinite","In Review","APWorld: https://github.com/Heaxeus/Archipelago/releases/
Client: https://github.com/Heaxeus/HexcellsInfiniteAP/releases/","","","","","","",""
"Trackmania","In Review","APWorld: https://github.com/SerialBoxes/ArchipelagoTrackmania/releases/latest
Client: https://github.com/SerialBoxes/ArchipelagoTrackmaniaPlugin/releases/latest","","","","","","",""
"Candy Box 2","In Review","APWorld: https://github.com/vicr123/Archipelago/releases/latest
Client: https://vicr123.com/candy-box-2/","Source Code: https://github.com/vicr123/candy-box-2/tree/archipelago
Pull Request: https://github.com/ArchipelagoMW/Archipelago/pull/5581","","","","","",""
"Glover","In Review","https://github.com/Smg065/GloverArchipelago/releases","Near Feature-Completion. A few remaining ROM bugs. Fuzz errors under 1% of the time.
New features were just added, so may not be stable","","","","","",""
"A Difficult Game About Climbing","Stable","https://github.com/BlastSlimey/GrabbingChecks/releases","Game Info: https://github.com/BlastSlimey/Archipelago/blob/difficult_climbing/worlds/difficult_climbing/docs/en_A%20Difficult%20Game%20About%20Climbing.md
Setup Guide: https://github.com/BlastSlimey/Archipelago/blob/difficult_climbing/worlds/difficult_climbing/docs/setup_en.md","","","","","",""
"Against the Storm","Stable","https://github.com/Ryguy-9999/ArchipelagoATS/releases","Poptracker: https://github.com/Chfou/ATS-poptracker","","","","","",""
"Air Delivery","Stable","https://github.com/qwint/ap-air-delivery/releases","","","","","","",""
"ANIMAL WELL","Stable","https://github.com/ScipioWright/Archipelago-SW/releases/latest","Setup guide: https://github.com/ScipioWright/Archipelago-SW/blob/animal-well/worlds/animal_well/docs/setup_en.md","","","","","",""
"Anodyne","Stable","APWorld: https://github.com/PixieCatSupreme/ArchipelagoAno/releases
Client: https://github.com/SephDB/AnodyneArchipelagoClient/releases","Game: https://pixiecatsupreme.itch.io/anodyne-sharp","","","","","",""
"Another Crab's Treasure","Stable","https://github.com/Automagic00/ACT-AP-Client-Plugin/releases/latest","Setup instructions: https://github.com/Automagic00/ACT-AP-Client-Plugin?tab=readme-ov-file#another-crabs-treasure-ap-randomizer","","","","","",""
"An Untitled Story","Stable","https://github.com/ThatOneGuy27/Archipelago-aus/releases/latest","","","","","","",""
"Ape Escape","Stable","https://github.com/Thedragon005/Archipelago-Ape-Escape/releases","Tracker: https://github.com/lurch9229/Ape-Escape-Tracker/releases","","","","","",""
"Ape Escape 3","Stable","https://github.com/aidanii24/ae3-archipelago/releases","","","","","","",""
"Astalon: Tears of the Earth","Stable","https://github.com/drtchops/Archipelago-Astalon/releases/latest","Has some issues with bell logic occasionally","","","","","",""
"Autopelago","Stable","https://github.com/airbreather/Autopelago/releases/latest","Like a complicated ArchipIDLE with flavor, goal is to help solo practice by adding slots with automatic players.","","","","","",""
"Axiom Verge","Stable","https://github.com/mail-liam/Archipelago/releases/latest","","","","","","",""
"Balatro","Stable","https://github.com/BurndiL/BalatroAP/releases","Dev branch: https://github.com/SpaD-Overolls/BalatroAP","","","","","",""
"Bomberman Hero","Stable","Check in the future game design channel for the latest apworld","","","","","","",""
"Brotato","Stable","https://github.com/SpenserHaddad/Brotato-ArchipelagoClient/releases","Known bug where the mod works only every other time you launch it for unknown reasons","","","","","",""
"Castlevania: Dawn of Sorrow","Stable","https://github.com/PinkSwitch/Archipelago/releases?q=castlevania:%20dawn%20of%20sorrow&expanded=true","","","","","","",""
"Castlevania: Harmony of Dissonance","Stable","https://github.com/LiquidCat64/LiquidCatipelago/releases?q=CVHoDis&expanded=true","There are two games in the releases, be sure to pick the correct one.","","","","","",""
"Castlevania: Symphony of the Night","Stable","https://github.com/fdelduque/Archipelago/releases","README: https://github.com/fdelduque/Archipelago/blob/main/worlds/sotn/docs/setup_en.md","","","","","",""
"Cavern of Dreams","Stable","APWorld: https://github.com/wu4/Archipelago/releases
Client: https://github.com/wu4/CavernOfDreamsAP/releases","Doesn't work with passwords","","","","","",""
"Cave Story","Stable","https://github.com/kl3cks7r/CaveStoryArchipelago/releases ","Setup: https://discord.com/channels/731205301247803413/1083474864150695956/1325133108827127821 
Old GIthub: https://github.com/kl3cks7r/Archipelago","","","","","",""
"ChecksMate (Chess)","Stable","https://github.com/chesslogic/chessv/releases/latest","","","","","","",""
"Chrono Trigger: Jets of Time","Stable","https://www.wiki.ctjot.com/doku.php?id=multiworld","Recently revamped Item distribution, should interact with other games more frequently.","","","","","",""
"ClusterTruck","Stable","https://github.com/Nullctipus/ArchipelagoClusterTruck/releases/","","","","","","",""
"CornKidz64","Stable","APWorld: https://github.com/Cyb3RGER/cornkidz64_apworld/releases
Client: https://github.com/Cyb3RGER/CornKidzAP/releases","","","","","","",""
"CrossCode","Stable","https://github.com/CodeTriangle/CCMultiworldRandomizer","Beta Testing Discord: https://discord.gg/ZSWfgQdfGr","","","","","",""
"Crystalis","Stable","https://github.com/Ars-Ignis/Archipelago/releases","Docs: https://github.com/Ars-Ignis/Archipelago/blob/crystalis/worlds/crystalis/docs/setup_en.md 
PopTracker: https://github.com/Ars-Ignis/crystalis-randomizer-tracker/releases ","","","","","",""
"Cuphead","Stable","APWorld: https://github.com/JKLeckr/Archipelago-cuphead/releases 
Client: https://github.com/JKLeckr/CupheadArchipelagoMod/releases","In alpha, but considered mostly stable. There are bugs here and there, but overall is consistently playable without major issues","","","","","",""
"A Dance Of Fire And Ice","Stable","APWorld: https://github.com/ClaudeChibout/Archipelago-ADOFAI/releases/ 
Client: https://github.com/ClaudeChibout/ADOFAI_AP-Mod/releases/","","","","","","",""
"Dark Souls II","Stable","https://github.com/WildBunnie/DarkSoulsII-Archipelago","Works for Vanilla and Scholar of the First Sin editions
Setup guide: https://github.com/WildBunnie/DarkSoulsII-Archipelago/blob/main/README.md","","","","","",""
"Deep Rock Galactic","Stable","APWorld: https://github.com/Cousinit117/Deep-Rock-Galactic-AP/releases/latest
Mod: https://mod.io/g/drg/m/test-archipelago-integration","Developer Taz (Cousinit117) & SipcoGamingGuild Please ping for relevant details on AP discord
For more details visit the Deep Rock Galactic future game design channel in the Archipelago Discord","","","","","",""
"Diddy Kong Racing","Stable","https://github.com/zakwiz/DiddyKongRacingAP/releases/latest","Setup Guide: https://github.com/zakwiz/DiddyKongRacingAP/blob/main/worlds/diddy_kong_racing/docs/setup_en.md","","","","","",""
"Dome Keeper","Stable","APWorld: https://github.com/Arrcival/ArchipelagoDK/releases
Client: https://steamcommunity.com/sharedfiles/filedetails/?id=3372889996&searchtext=archipelago","","","","","","",""
"DORONKO WANKO","Stable","https://github.com/Vendily/DoronkoWankoArchipelago/releases","","","","","","",""
"Dragon Warrior","Stable","https://github.com/Serpikmin/Archipelago-DragonWarrior/releases","","","","","","",""
"Duke Nukem 3D","Stable","https://github.com/randomcodegen/NBloodAP/releases","","","","","","",""
"Ender Lilies: Quietus of the Knights","Stable","https://github.com/Trexounay/EnderLilies.Archipelago/releases/latest","LiveSplit Mod: https://github.com/Trexounay/EnderLilies.Randomizer/releases
Discord: https://discord.gg/F4kg63Jbsy","","","","","",""
"Final Fantasy 6 Worlds Collide","Stable","https://docs.google.com/document/d/1ZN-eO3ZasTEAReGCRP7l9tgI-kEh0GG4gJxVv7JOlyk","","","","","","",""
"Final Fantasy XII: Open World","Stable","https://github.com/Bartz24/Archipelago/releases","Playable, Stable, Active Community","","","","","",""
"Final Fantasy XII: Trial Mode","Stable","https://github.com/silasary/archipelago/releases","Playable, occasionally softlocks so save often","","","","","",""
"Final Fantasy Tactics Advance","Stable","https://github.com/spicynun/Archipelago/releases/latest","","","","","","",""
"Final Fantasy Tactics A2: Grimoire of the Rift","Stable","https://github.com/Rurusachi/Archipelago/releases","Playable, occasionally hardlocks so save often","","","","","",""
"Fire Emblem: The Sacred Stones","Stable","https://github.com/CT075/Archipelago/releases/latest","","","","","","",""
"FNAF World","Stable","Check the future game design channel for the latest apworld and mod","","","","","","",""
"Frogmonster","Stable","https://github.com/Rooby-Roo/FrogmonsterAPWorld","Info and Setup: https://github.com/Rooby-Roo/FrogmonsterAPWorld","","","","","",""
"Garfield Kart: Furious Racing","Stable","APWorld: https://github.com/FeluciaPS/archipelago/releases
Client: https://github.com/robotzurg/GarfieldKartAPMod/releases","All core features are implemented, future versions will focus on polish, filler, traps, and QOL.
Client mod is also available through thunderstore. Latest v0.4.X mod is always compatible with every v0.4.X apworld.","","","","","",""
"Getting Over It with Bennett Foddy","Stable","https://github.com/BlastSlimey/CheckingOverIt/releases","Game info and setup: https://github.com/BlastSlimey/Archipelago/tree/getting_over_it/worlds/getting_over_it/docs","","","","","",""
"Golden Sun: The Lost Age","Stable","https://github.com/cjmang/Archipelago/releases","","","","","","",""
"Grim Dawn","Stable","APWorld: https://github.com/routhken/Archipelago/releases
Client: https://www.nexusmods.com/grimdawn/mods/167/"," ","","","","","",""
"The Guardian Legend","Stable","https://github.com/CoreZer0/TheGuardianLegend-AP/releases","Not allowed on the main discord due to no content rating and no re-release. Thread is in the After Dark discord","","","","","",""
"Guild Wars 2","Stable","https://github.com/Feldar99/Archipelago/releases ","Complex setup, apworld is in the Gw2ArchipelagoBinaries.zip","","","","","",""
"GZDoom","Stable","https://github.com/toxicfrog/doom-mods/releases","Supports a wide selection of wads and gameplay mods; ""how much the host should worry"" depends somewhat on what wad is selected
Setup: https://github.com/ToxicFrog/doom-mods/blob/main/gzap/doc/gzdoom_newplayers.md","","","","","",""
"Hammerwatch","Stable","APWorld: https://github.com/Parcosmic/Hammerwatch-Archipelago/releases/latest
Client: https://github.com/Parcosmic/Hammerwatch-Archipelago-Mod-Installer/releases","","","","","","",""
"Hatsune Miku: Project Diva Megamix+","Stable","https://github.com/Cynichill/DivaAPworld/releases"," ","","","","","",""
"Here Comes Niko!","Stable","APWorld: https://github.com/niieli/Niko-Archipelago/releases/latest
Client: https://github.com/niieli/NikoArchipelagoMod?tab=readme-ov-file","","","","","","",""
"Hollow Knight - Beta APWorld","Stable","https://github.com/qwint/Archipelago/releases/latest","Many logic updates, Tuk egg randomized, alternate start locations, Shriek Pogos and Slope Ball options, very long gen times","","","","","",""
"Iji","Stable","https://github.com/Minish-Link/Iji-Archipelago/releases","Just had its v1.2.0 release","","","","","",""
"Into the Breach","Stable","https://github.com/Ishigh1/ITB-randomizer-for-AP/releases/latest","Setup Guide: https://github.com/Ishigh1/Archipelago/blob/into-the-breach/worlds/into_the_breach/docs/setup_en.md","","","","","",""
"Isles of Sea and Sky","Stable","https://github.com/Kim-Delicious/Archipelago_IslesOfSeaAndSky/releases","","","","","","",""
"Ittle Dew 2+","Stable","https://github.com/Extra-2-Dew/ArchipelagoRandomizer/releases/latest","Setup Guide: https://github.com/Extra-2-Dew/ArchipelagoRandomizer?tab=readme-ov-file#archipelago-randomizer-for-ittle-dew-2","","","","","",""
"Jigsaw Puzzle for Archipelago","Stable","APWorld: https://github.com/spineraks-org/ArchipelagoJigsaw/releases/latest
Client: https://jigsaw-ap.netlify.app/","","","","","","",""
"Kabuto Park (Demo)","Stable","Check pins in the future game design channel for the latest APWorld","","","","","","",""
"Keep Talking and Nobody Explodes","Stable","https://github.com/GreenPower713/Archipelago/releases","Windows and MacOS only for the time being.","","","","","",""
"Kindergarten 2","Stable","https://github.com/agilbert1412/Archipelagarten/releases","18+, so not allowed on the main discord. Discord thread for reporting bugs is in the After Dark discord","","","","","",""
"Kingdom Hearts: Birth by Sleep Final Mix","Stable","https://github.com/gaithernOrg/ArchipelagoKHBBS/releases/latest","","","","","","",""
"Kingdom Hearts: Chain of Memories (GBA)","Stable","https://github.com/gaithernOrg/ArchipelagoKHCOM/releases/latest","","","","","","",""
"Kingdom Hearts: RE Chain of Memories","Stable","https://github.com/gaithernOrg/ArchipelagoKHRECOM/releases/latest","https://github.com/ArchipelagoMW/Archipelago/pull/3819","","","","","",""
"Kirby 64 - The Crystal Shards","Stable","https://github.com/Silvris/Archipelago/releases?q=kirby+64&expanded=true","","","","","","",""
"Kirby Super Star","Stable","https://github.com/Silvris/Archipelago/releases?q=Kirby+Super+Star&expanded=true","Multiple games in the releases","","","","","",""
"K-On! After School Live!!","Stable","https://github.com/dannybonz/k-on_archipelago/releases/latest","Setup Guide: https://github.com/dannybonz/k-on_archipelago/blob/main/docs/setup.md","","","","","",""
"League of Legends","Stable","https://github.com/gaithernOrg/LoLAP/releases","Read the instructions given in the GitHub and future game design channel to set up","","","","","",""
"The Legend of Zelda: A Link Between Worlds","Stable","https://github.com/randomsalience/albw-archipelago/releases/latest","Setup guide: https://github.com/Legendgreat/setting-up-albw-ap/blob/main/README.md","","","","","",""
"The Legend of Zelda: The Minish Cap","Stable","https://github.com/eternalcode0/Archipelago/releases","Game info: https://github.com/eternalcode0/Archipelago/blob/feat/new-game-minish-cap/worlds/tmc/docs/en_The%20Minish%20Cap.md
Setup guide: https://github.com/eternalcode0/Archipelago/blob/feat/new-game-minish-cap/worlds/tmc/docs/setup_en.md","","","","","",""
"The Legend of Zelda: Ocarina of Time - Ship of Harkinian","Stable","https://github.com/HarbourMasters/Archipelago-SoH/releases/latest","Setup guide: https://github.com/HarbourMasters/Archipelago-SoH/blob/oot-soh/worlds/oot_soh/docs/guide_en.md","","","","","",""
"The Legend of Zelda: Oracle of Seasons","Stable","https://github.com/Dinopony/Archipelago/releases/latest","","","","","","",""
"The Legend of Zelda: Phantom Hourglass","Stable","https://github.com/carrotinator/Archipelago/releases/","","","","","","",""
"The Legend of Zelda: Twilight Princess","Stable","https://github.com/WritingHusky/Twilight_Princess_apworld/releases","Generally stable, current limitations on amount of options that can be changed. Requires US version of the game for auto-release.","","","","","",""
"The Legend of Zelda: Skyward Sword","Stable","https://github.com/Battlecats59/SS_APWorld/releases/latest","Setup Guide: https://github.com/Battlecats59/SSArchipelago/blob/ss/worlds/ss/docs/setup_en.md 
Requires the SSR AP Patcher: https://nightly.link/Battlecats59/sslib/workflows/build.yaml/archipelago","","","","","",""
"Lego Star Wars: The Complete Saga","Stable","https://github.com/Mysteryem/Archipelago-TCS/releases","Setup Guide: https://github.com/Mysteryem/Archipelago-TCS/blob/main/lego_star_wars_tcs/docs/setup_en.md","","","","","",""
"Lil Gator Game","Stable","APWorld: https://github.com/natronium/GatorArchipelago/releases/latest
Client: https://github.com/natronium/GatorRando/releases/latest","","","","","","",""
"Lingo 2","Stable","https://code.fourisland.com/lingo2-archipelago/about/","","","","","","",""
"Little Witch Nobeta","Stable","https://github.com/danielgruethling/RandomizedWitchNobeta/releases/latest","","","","","","",""
"Luigi's Mansion","Stable","https://github.com/BootsinSoots/Archipelago/releases/latest","Setup Guide: https://github.com/BootsinSoots/Archipelago/blob/Luigi's-Mansion-AP/worlds/luigismansion/docs/setup_en.md","","","","","",""
"Lunacid","Stable","https://github.com/Witchybun/LunacidAPClient/releases","","","","","","",""
"Mario is Missing (SNES)","Stable","Check the future game design channel for the latest apworld","","","","","","",""
"Mario Kart: Double Dash","Stable","https://github.com/aXu-AP/archipelago-double-dash/releases","","","","","","",""
"MetroCUBEvania","Stable","https://github.com/ap-metrocubevania/ap-metrocubevania/releases/latest","","","","","","",""
"Metroid Fusion","Stable","https://github.com/Rosalie-A/Archipelago/releases?q=metroid+fusion&expanded=true","Potential logic issues with Open Sectors and randomized sector connections, but very stable otherwise","","","","","",""
"Metroid: Zero Mission","Stable","https://github.com/lilDavid/Archipelago-Metroid-Zero-Mission/releases","Check future game design pins for tracker and known issues","","","","","",""
"Minishoot Adventures","Stable","https://github.com/TheNooodle/MinishootRandomizer/releases/latest","","","","","","",""
"Minit","Stable","https://github.com/qwint/APMinit/releases/latest","It's important that you read the instructions on the GitHub page to ensure all requirements are met.","","","","","",""
"Momodora: Moonlit Farewell","Stable","https://github.com/alditoOt/Momodora-Moonlit-Farewell-Randomizer/releases/latest","","","","","","",""
"Monster Sanctuary","Stable","https://github.com/Gtaray/archipelago-monstersanctuary/releases/latest","Check the pins in the future game design channel for an updated apworld and instructions.","","","","","",""
"Nine Sols","Stable","https://github.com/Ixrec/NineSolsArchipelagoRandomizer/releases/latest","","","","","","",""
"Ori and the Blind Forest","Stable","APWorld: https://github.com/c-ostic/Archipelago/releases/latest 
Client: https://github.com/c-ostic/OriBFArchipelago/releases/latest","A few known bugs, listed in Github Issues page for client","","","","","",""
"Ori and the Will of the Wisps","Stable","https://github.com/Satisha10/APwotw_release/releases/latest","Setup guide: https://github.com/Satisha10/APwotw_release 
Has occasional generation issues","","","","","",""
"osu!","Stable","https://github.com/lilymnky-F/Archipelago-Osu/releases/latest","Setup Guide: https://discord.com/channels/731205301247803413/1195040661171355730/1220286358472622140","","","","","",""
"Oxygen Not Included","Stable","https://github.com/ShadowKitty42/ONI-Archipelago/releases/latest","Please read the top post in the discord thread for setup instructions, links, and troubleshooting: https://discord.com/channels/731205301247803413/1446597534847074416","","","","","",""
"Paper Mario 64","Stable","https://github.com/JKBSunshine/PMR_APWorld/releases/latest","Playable alpha v0.4.4, very stable with an assortment of randomization options.
Tracker: https://github.com/Phantom5800/pmr-emotracker/releases/latest","","","","","",""
"Paper Mario: The Thousand Year Door","Stable","https://github.com/jamesbrq/ArchipelagoTTYD/releases","Setup Guide: https://github.com/jamesbrq/ArchipelagoTTYD/blob/main/docs/setup_en.md
Tracker: https://github.com/ZobeePlays/TTYD-Randomizer-AP-Tracker/tree/main","","","","","",""
"Parkitect","Stable","APWorld: https://github.com/CrusherRL/AP_Parkitect_World
Client: https://github.com/CrusherRL/AP_Parkitect","","","","","","",""
"Pizza Tower","Stable","APWorld: https://github.com/unsafetyskizzers/Archipelago/releases/latest/
Client: https://gamebanana.com/mods/598236","","","","","","",""
"Placid Plastic Duck Simulator","Stable","https://github.com/SWCreeperKing/PPDSArchipelago/releases","","","","","","",""
"Plateup!","Stable","APWorld: https://github.com/CazIsABoi/Archipelago/releases
Client: https://steamcommunity.com/sharedfiles/filedetails/?id=3484431423","Setup Guide: https://github.com/CazIsABoi/PlateUpAPMod/blob/main/Setup.md
How the mod works and what the options do: https://docs.google.com/document/d/1H_T82UsZbHI4CbvfHWnud8xZqhXH5XWc_sZkax1I8YY/edit?hl=sv&tab=t.0","","","","","",""
"Pokemon Fire Red and Leaf Green","Stable","https://github.com/vyneras/Archipelago/releases/latest","Tracker: https://github.com/vyneras/pokemon-frlg-tracker/releases/latest","","","","","",""
